"","lakeID","dateSample","count","count_indM2"
"1","EL","05/25/2011",54,370.015074688228
"2","EL","06/01/2011",29,198.711799369604
"3","EL","06/08/2011",16,109.634096203919
"4","EL","06/15/2011",33,226.120323420584
"5","EL","06/22/2011",105,719.473756338221
"6","EL","06/29/2011",44,301.493764560778
"7","EL","07/06/2011",118,808.551459503906
"8","EL","07/13/2011",137,938.74194874606
"9","EL","07/20/2011",75,513.909825955872
"10","EL","07/27/2012",86,589.283267096067
"11","EL","08/03/2011",110,753.734411401946
"12","EL","08/10/2011",76,520.761956968617
"13","EL","08/17/2011",93,637.248184185282
"14","WL","05/25/2011",14,95.9298341784295
"15","WL","06/01/2011",19,130.190489242154
"16","WL","06/08/2011",25,171.303275318624
"17","WL","06/15/2011",18,123.338358229409
"18","WL","06/22/2011",101,692.065232287241
"19","WL","06/29/2011",24,164.451144305879
"20","WL","07/06/2011",134,918.185555707825
"21","WL","07/13/2011",59,404.275729751953
"22","WL","07/20/2011",126,863.368507605865
"23","WL","07/27/2012",127,870.22063861861
"24","WL","08/03/2011",95,650.952446210772
"25","WL","08/10/2011",87,596.135398108812
"26","WL","08/17/2011",83,568.726874057832
"27","EL","08/08/2012",43,294.641633548033
"28","EL","07/11/2012",39,267.233109497054
"29","EL","07/18/2012",52,356.310812662738
"30","EL","07/25/2012",35,239.824585446074
"31","EL","08/01/2012",48,328.902288611758
"32","EL","06/27/2012",106,726.325887350966
"33","EL","05/16/2012",61,417.979991777443
"34","EL","05/22/2012",42,287.789502535288
"35","EL","05/30/2012",146,1000.41112786076
"36","EL","06/06/2012",8,54.8170481019597
"37","EL","06/13/2012",95,650.952446210772
"38","EL","06/20/2012",42,287.789502535288
"39","WL","07/11/2012",201,1377.27833356174
"40","WL","07/18/2012",154,1055.22817596272
"41","WL","07/25/2012",210,1438.94751267644
"42","WL","08/01/2012",63,431.684253802933
"43","WL","08/08/2012",45,308.345895573523
"44","WL","06/27/2012",278,1904.8924215431
"45","WL","05/16/2012",82,561.874743045087
"46","WL","05/22/2012",43,294.641633548033
"47","WL","05/30/2012",194,1329.31341647252
"48","WL","06/06/2012",7,47.9649170892148
"49","WL","06/13/2012",223,1528.02521584213
"50","WL","06/20/2012",63,431.684253802933
"51","WL","05/15/2013",229,1569.1380019186
"52","WL","05/15/2013",172,1178.56653419213
"53","WL","05/15/2013",112,767.438673427436
"54","EL","05/15/2013",60,411.127860764698
"55","EL","05/15/2013",74,507.057694943127
"56","EL","05/15/2013",71,486.501301904892
"57","WL","05/22/2013",152,1041.52391393723
"58","EL","05/22/2013",36,246.676716458819
"59","EL","05/29/2013",27,185.007537344114
"60","WL","05/29/2013",125,856.516376593121
"61","EL","06/05/2013",16,109.634096203919
"62","WL","06/12/2013",18,123.338358229409
"63","EL","06/19/2013",14,95.9298341784295
"64","WL","06/19/2013",16,109.634096203919
"65","WL","06/26/2013",12,82.2255721529396
"66","EL","07/10/2013",8,54.8170481019597
"67","WL","07/03/2013",0,0
"68","EL","07/03/2013",4,27.4085240509799
"69","EL","08/16/2013",14,95.9298341784295
"70","WL","08/16/2013",36,246.676716458819
"71","EL","06/26/2013",15,102.781965191174
"72","WL","07/25/2013",16,109.634096203919
"73","WL","07/10/2013",21,143.894751267644
"74","EL","07/25/2013",10,68.5213101274496
"75","EL","07/17/2013",11,75.3734411401946
"76","WL","07/17/2013",30,205.563930382349
"77","EL","07/31/2013",26,178.155406331369
"78","WL","07/31/2013",46,315.198026586268
