"","DOC","TP","CP","temp","chaob.gm2","gpp"
"1",6.8030423615,14.10071,194.455037572547,21.8,2.44570014654584,0.377043871285714
"2",10.722912815,15.09165,268.12519244387,20.7,0.757490255000967,0.919474064
"3",12.87,22.33,195.2108704038,23.4,3.7849325898012,1.38971153514286
"4",8.765,8.99,218.199342910025,20.4,3.83132477246582,0.305683256142857
"5",7.175164386,12.42575,438.881217147427,22.5,9.03233805247618,0.692070241857143
"6",9.29578517,9.8946,277.855902331495,22.4,9.4672884023572,0.692044159428571
"7",6.93441380875,23.07062,822.54997726523,21.2,5.08024682864054,0.641984278857143
"8",9.595875253,11.23853,523.075297156839,21.6,2.79694364107942,0.919020678428571
"9",10.58919785,10.1857,377.099135475543,21.6,5.72354683543019,0.400647539428571
"10",10.96056103,10.2759,192.497795016396,20.2,4.50429368071547,0.902284636571429
"11",6.8127363375,16.079386344086,304.587676374175,20.5,1.90295746466386,0.291633734571429
"12",10.4209656,9.9737,234.859686081922,19.5,2.58757934180791,1.05703783557143
"13",11.443751065,15.4133,211.371057522256,10,1.21656367525137,1.0263374655
"14",5.813332971,12.7788,278.683284224555,11,1.89270119053054,0.64162369525
"15",6.297792214,6.5838,286.170013798969,19.5,5.2811109510361,0.275136854571429
"16",7.718277082,6.30922,294.619507592602,20.9,1.63861568031471,0.483791794285714
"17",11.416285885,8.37635,236.263419705391,21,5.80742528834074,0.594670541428571
"18",5.882091781,6.72534,361.85791958467,20.8,0.753076553849869,0.642964308857143
"19",10.246044011,62.74546,289.53460927269,19,2.15972156348526,0.919406146571429
"20",6.4102279725,10.31392,237.890133938197,19.1,5.14252335382482,0.545173149285714
"21",6.780678718,3.74202,1249.0962708065,22.4,12.3410522244356,0.629195995428571
"22",9.0511035175,48.65756,533.464805690519,22.9,3.92550552361591,0.804196586142857
"23",8.315,15.22,236.020228428983,19.4,6.16928085835587,0.533277423428571
"24",10.265,15.84,728.065782106435,19.7,3.46875950866184,0.943311167142857
"25",8.67,14.76,282.111803019684,27.2,8.40167731349672,0.568732202
"26",9.78,19.45,336.872051759822,27.7,4.33208108070844,1.28572200514286
"27",10.985,18.14,211.398538446418,22.2,3.35113439033169,1.32776089157143
"28",7.895,15.38,282.111803019684,23.9,5.37135870425142,0.576064511142857
"29",7.39,19.45,236.020228428983,21.5,4.93127980122264,0.734429077142857
"30",11.135,14.77,282.111803019684,25.7,7.41554986680372,0.922019023571429
"31",6.83,14.64,207.707690526441,19,2.85858873355938,0.499351735142857
"32",5.535,17.23,152.470987694432,19.1,0.970610303698093,0.810020111
"33",6.09,10.36,377.809904379092,25.3,3.52580756791178,0.494319325428571
"34",6.435,15.03,516.040180631916,16.3,22.0880638515993,0.333722188
"35",11.82,14.92,296.30575117365,20.5,2.19366642820898,0.333722188
"36",6.385,16.74,321.026950506472,19.8,3.24050800604244,0.333722188
"37",7.24,18.11,315.664657817011,20.2,5.09485180052228,0.396656784166667
"38",11.56,17.5,327.457744203322,20.1,0.283540658979425,0.507552585666667
"39",10.845,15.2,271.092527295426,16.1,2.19366642820898,0.333722188
"40",6.13,12.6,1026.4717933524,16.4,22.0880638515993,0.333722188
"41",10.37,15.39,179.76435069485,16.4,4.9625917851975,0.333722188
"42",11.415,19.42,347.250344166789,16.5,5.88235186162273,0.333722188
"43",7.025,20.04,302.328185879001,17,25.0242921148906,0.333722188
"44",9.68,26.87,264.285712967089,10.1,5.88235186162273,0.333722188
"45",6.705,22.99,143.616625699918,9.1,25.0242921148906,0.333722188
"46",7.35,19.49,185.819493895302,23.1,12.6379163932661,0.722499817
"47",7.04,19.66,217.020948618882,23.1,17.4341317024944,0.722499817
"48",7.825,21.16,97.0004444228593,24.4,11.847382392324,0.962792012
"49",7.43,19.32,130.718500360844,24.7,9.92095869009749,0.962792012
"50",8,19.82,155.083830498034,25.8,45.6731226598993,0.954434783666667
"51",8.21,20.16,167.026066021892,25.9,4.65433627935359,0.649400615
"52",7.92,19.99,163.066086479551,25,36.1805805191539,1.43285293
"53",8.905,21.16,230.797615094941,25.1,26.6088248361897,1.43285293
"54",8.58,20.66,218.199342910025,25.3,47.2227057425321,1.36985501666667
"55",11.325,22.33,194.338281695885,26.1,19.9790971289724,0.6568649575
"56",6.57,24.35,151.221205664355,22.7,54.9526212730206,0.752104217285714
"57",8.335,18.24,133.037979730962,23.2,28.600819134473,0.874457074333333
"58",6.325,32.69,214.644860708127,22.5,15.0763462721881,0.542353643285714
"59",7.43,21.1,233.418576075379,23,12.4155645973945,0.527070688
"60",7.685,22.22,141.947862777164,20.7,40.069693901211,0.456780905
"61",8.425,24.64,189.323710649204,21.2,22.1474409198394,0.718627944
"62",6.205,19.32,356.08153550411,22.3,2.35124025921229,0.658259827571429
"63",7.575,18.36,182.961357265434,20.6,1.64457184177973,0.520798634142857
"64",7.4,18.93,224.076766288073,18.8,45.5781339007524,0.549492180666667
"65",8.735,17.2,588.966801008541,18.9,27.5970930402726,0.694851357
"66",7.925,16.58,185.604619961054,18.2,10.1023698852183,0.776056297
"67",8.735,13.62,265.456419850431,18.7,12.3440113608645,0.776056297
"68",7.71,9.54,197.125204132301,17.6,19.2649844322768,0.776056297
"69",8.59,12.87,141.244417447804,18.3,17.9282069764937,0.776056297
"70",11.045,11.46,147.589669723792,23.8,16.8399757236822,0.795940836428571
"71",11.32,13.16,187.579137194682,22.3,21.5952851144007,0.8654229915
"72",6.97,12.54,95.5081298932768,23.5,21.958566695181,0.855698741
"73",8.31,14.24,73.4584213337321,23.8,24.3015208366398,0.88449397
"74",6.85,13.77,189.553654428311,26.6,33.4218408519172,0.88449397
"75",5.49,13.93,220.460475997175,23.2,10.3633417967131,0.407790592
"76",5.63,10.69,172.008627593469,24.4,33.8540146371012,0.466397785333333
"77",8.675,12.85,110.742555520425,19.4,4.36754789968795,0.453754181
"78",7.55,15.32,166.95297901001,17.7,26.8054759291466,0.4840520858
"79",8.845,0,141.891264745753,24.2,5.01393150605895,0.3564310835
"80",8.7,0,123.931066885546,16.3,1.76636432933346,0.440655307
"81",7.19,11.61,145.53981319985,24.2,17.6820352673661,0.673635133285714
"82",9.13,26.89,299.291797717377,22.3,19.5641892214492,0.810440996166667
"83",5.925,9.45,1512.84877750951,23.9,26.6424414386913,0.855698741
"84",6.215,16.55,75.5920441793557,23.8,19.3395008244345,0.88449397
"85",5.8,14.08,232.870515047264,26.7,16.3551836122672,0.88449397
"86",5.395,13.77,265.356360890819,23.5,20.9893076781854,0.407790592
"87",6.085,11.92,506.039043063572,25,28.1367859616266,0.434718803
"88",12.99,11.46,109.400221514117,20.3,15.8634377826913,0.451597384142857
"89",7.875,21.8,209.63366622554,17.6,17.0358508491964,0.400502112285714
"90",8.045,2.2,228.998257388899,20.5,3.48920084341473,0.336630552285714
"91",8.965,0,146.999469487913,25.5,2.25024181962839,0.294792114142857
"92",7.97,0,152.307262131234,16.4,3.27042200158673,0.48912473
"93",6.57,24.35,151.221205664355,22.7,54.9526212730206,0.752104217285714
"94",8.58,20.66,218.199342910025,25.3,47.2227057425321,1.36985501666667
