"","lakeID","dateSample","depthClass","chl"
"1","EL","06/08/2011","PML",4.4
"2","WL","06/08/2011","PML",4.73
"3","EL","06/15/2011","PML",5.5
"4","WL","06/15/2011","PML",3.915
"5","EL","06/22/2011","PML",3.885
"6","WL","06/22/2011","PML",6.735
"7","EL","06/29/2011","PML",7.07
"8","WL","06/29/2011","PML",4.17
"9","EL","07/06/2011","PML",5.235
"10","EL","07/13/2011","PML",4.96
"11","WL","07/13/2011","PML",5.01
"12","EL","07/20/2011","PML",6.48
"13","WL","07/20/2011","PML",4.885
"14","EL","07/27/2011","PML",8.32
"15","WL","07/27/2011","PML",7.205
"16","WL","08/03/2011","PML",10.42
"17","EL","08/10/2011","PML",5.58
"18","WL","08/10/2011","PML",5.225
"19","EL","08/17/2011","PML",4.08
"20","WL","08/17/2011","PML",3.905
"21","EL","09/21/2011","PML",6.33
"22","WL","09/21/2011","PML",6.745
"23","EL","05/16/2012","PML",3.715
"24","WL","05/16/2012","PML",2.64
"25","EL","05/23/2012","PML",3.26
"26","WL","05/23/2012","PML",5.255
"27","EL","05/30/2012","PML",10.11
"28","WL","05/30/2012","PML",12.38
"29","EL","06/06/2012","PML",8.96
"30","WL","06/06/2012","PML",8.835
"31","EL","06/13/2012","PML",6.545
"32","WL","06/13/2012","PML",4.22
"33","WL","06/19/2012","PML",9.115
"34","EL","06/20/2012","PML",15.29
"35","WL","06/20/2012","PML",7.1
"36","EL","06/27/2012","PML",10.4
"37","WL","06/27/2012","PML",7.77
"38","EL","07/04/2012","PML",6.405
"39","WL","07/04/2012","PML",9.175
"40","EL","07/11/2012","PML",8.19
"41","WL","07/11/2012","PML",8.215
"42","EL","07/18/2012","PML",5.855
"43","WL","07/18/2012","PML",2.42
"44","EL","07/25/2012","PML",7.025
"45","WL","07/25/2012","PML",5.11
"46","WL","07/30/2012","PML",7.015
"47","EL","08/01/2012","PML",4.515
"48","WL","08/01/2012","PML",5.53
"49","EL","08/08/2012","PML",7.205
"50","WL","08/08/2012","PML",7.81
"51","EL","08/15/2012","PML",2.285
"52","WL","08/15/2012","PML",10.34
"53","EL","09/16/2012","PML",5.535
"54","WL","09/16/2012","PML",6.175
"55","EL","05/15/2013","PML",11.335
"56","WL","05/15/2013","PML",12.345
"57","EL","05/22/2013","PML",9.425
"58","WL","05/22/2013","PML",11.46
"59","EL","05/29/2013","PML",11.78
"60","WL","05/29/2013","PML",6.315
"61","EL","06/05/2013","PML",7.59
"62","WL","06/05/2013","PML",4.225
"63","EL","06/12/2013","PML",4.78
"64","WL","06/12/2013","PML",3.1
"65","EL","06/19/2013","PML",5.145
"66","WL","06/19/2013","PML",4.845
"67","EL","06/26/2013","PML",8.735
"68","WL","06/26/2013","PML",2.03
"69","EL","07/03/2013","PML",7.175
"70","WL","07/03/2013","PML",3.58
"71","EL","07/10/2013","PML",37.31
"72","WL","07/10/2013","PML",8.06
"73","EL","07/17/2013","PML",11.935
"74","WL","07/17/2013","PML",6.66
"75","EL","07/25/2013","PML",11.365
"76","WL","07/25/2013","PML",9.665
"77","EL","07/31/2013","PML",8.54
"78","WL","07/31/2013","PML",6.06
"79","EL","08/06/2013","PML",5.36
"80","WL","08/06/2013","PML",5.81
"81","EL","08/14/2013","PML",9.165
"82","WL","08/14/2013","PML",6.205
"83","EL","09/14/2013","PML",6.535
"84","WL","09/14/2013","PML",4.695
"331","EL","05/14/2014","PML",8.801969186
"341","WL","05/14/2014","PML",9.729531667
"351","EL","05/21/2014","PML",5.45110203
"361","WL","05/21/2014","PML",11.347731092
"371","EL","05/28/2014","PML",4.211522106
"381","WL","05/28/2014","PML",2.2450073365
"391","EL","06/11/2014","PML",2.8725826915
"401","WL","06/11/2014","PML",1.99180114
"411","EL","06/18/2014","PML",2.3439673425
"421","WL","06/18/2014","PML",1.3644837125
"431","EL","06/25/2014","PML",10.69068185
"441","WL","06/25/2014","PML",1.377782537
"451","WL","06/04/2014","PML",0.9441856175
"461","EL","07/16/2014","PML",8.374947331
"471","WL","07/16/2014","PML",2.013288302
"481","EL","07/02/2014","PML",3.1571121615
"491","WL","07/02/2014","PML",1.636374359
"501","EL","07/23/2014","PML",6.713199212
"511","WL","07/23/2014","PML",1.297151199
"521","EL","07/30/2014","PML",8.78241632
"531","WL","07/30/2014","PML",2.32147682971429
"541","EL","07/09/2014","PML",5.619361136
"551","WL","07/09/2014","PML",1.971906525
"561","EL","08/12/2014","PML",4.003491215
"571","WL","08/12/2014","PML",3.5404509125
"581","EL","08/20/2014","PML",3.5320761
"591","WL","08/20/2014","PML",3.7392885065
"601","EL","08/06/2014","PML",2.6918333775
"611","WL","08/06/2014","PML",3.482436667
"621","EL","09/26/2014","PML",4.332233784
"631","WL","09/26/2014","PML",5.4418764135
