"","lakeID","dateSample","depthBottom","temp"
"9","WL","2012-09-16",0.5,17.2
"623","EL","2011-05-25",0.5,16.4
"735","WL","2011-05-17",0.5,12.5
"759","WL","2011-05-25",0.5,16.3
"807","WL","2011-06-01",0.5,15.4
"831","EL","2011-06-01",0.5,15.9
"1201","WL","2011-06-08",0.5,24.2
"1225","EL","2011-06-08",0.5,25.5
"1379","WL","2011-06-22",0.5,17.7
"1461","WL","2011-06-15",0.5,20.4
"1485","EL","2011-06-15",0.5,20.5
"1583","EL","2011-06-22",0.5,17.6
"1768","WL","2011-06-29",0.5,19.4
"1792","EL","2011-06-29",0.5,20.3
"1945","WL","2011-07-06",0.5,24.4
"1969","EL","2011-07-06",0.5,25
"2069","WL","2011-07-13",0.5,23.2
"2093","EL","2011-07-13",0.5,23.5
"2258","EL","2011-07-20",0.5,26.7
"2354","WL","2011-07-20",0.5,26.6
"2416","EL","2011-07-27",0.5,23.8
"2440","WL","2011-07-27",0.5,23.8
"2705","WL","2011-08-03",0.5,23.5
"2729","EL","2011-08-03",0.5,23.9
"2812","EL","2011-08-10",0.5,22.3
"2988","WL","2011-08-10",0.5,22.3
"3050","WL","2011-08-17",0.5,23.8
"3074","EL","2011-08-17",0.5,24.2
"3098","WL","2011-09-21",0.5,14.9
"3122","EL","2011-09-21",0.5,14.8
"3146","WL","2012-05-16",0.5,17.6
"3169","EL","2012-05-16",0.5,18.3
"3192","WL","2012-05-23",0.5,18.2
"3215","EL","2012-05-23",0.5,18.7
"3237","WL","2012-05-30",0.5,18.8
"3260","EL","2012-05-30",0.5,18.9
"3283","WL","2012-06-06",0.5,20.6
"3306","EL","2012-06-06",0.5,22.3
"3329","WL","2012-06-13",0.5,20.7
"3352","EL","2012-06-13",0.5,21.2
"3375","WL","2012-06-20",0.5,22.5
"3398","EL","2012-06-20",0.5,23
"3421","EL","2012-06-27",0.5,23.2
"3444","WL","2012-07-04",0.5,28.1
"3467","EL","2012-07-04",0.5,28.3
"3490","WL","2012-07-11",0.5,25.3
"3513","EL","2012-07-11",0.5,26.1
"3536","WL","2012-07-18",0.5,25
"3559","EL","2012-07-18",0.5,25.1
"3582","WL","2012-07-25",0.5,25.8
"3605","EL","2012-07-25",0.5,25.9
"3628","WL","2012-08-01",0.5,24.4
"3650","EL","2012-08-01",0.5,24.7
"3672","WL","2012-08-08",0.5,23.1
"3695","EL","2012-08-08",0.5,23.1
"3718","WL","2012-08-15",0.5,21.4
"3741","EL","2012-08-15",0.5,22
"4236","EL","2012-09-16",0.5,17.3
"4254","WL","2012-06-27",0.5,22.7
"4568","WL","2012-06-19",0.5,21.8
"4964","WL","2012-07-30",0.5,24.9
"5027","EL","2013-05-15",0.5,10.1
"5165","WL","2013-05-15",0.5,9.1
"5197","WL","2013-05-21",0.5,18.5
"5217","WL","2013-05-22",0.5,17
"5427","WL","2013-06-04",0.5,17.1
"5447","WL","2013-06-05",0.5,16.3
"5704","EL","2013-06-19",0.5,20.1
"5728","WL","2013-06-19",0.5,20.2
"5811","WL","2013-06-19",0.5,20.2
"5835","EL","2013-06-19",0.5,20.1
"5876","EL","2013-06-12",0.5,20.5
"5898","WL","2013-06-12",0.5,19.8
"5920","WL","2013-06-05",0.5,16.4
"5944","EL","2013-06-05",0.5,16.1
"6170","WL","2013-05-22",0.5,17
"6284","EL","2013-05-29",0.5,16.4
"6307","WL","2013-05-29",0.5,16.4
"6362","EL","2013-05-22",0.5,16.5
"6531","EL","2013-06-26",0.5,25.7
"6556","WL","2013-06-26",0.5,25.3
"6723","WL","2013-07-03",0.5,22.7
"6748","EL","2013-07-03",0.5,22.7
"6969","EL","2013-07-10",0.5,23.4
"6994","WL","2013-07-10",0.5,23.9
"7106","EL","2013-07-17",0.5,27.7
"7129","WL","2013-07-17",0.5,27.2
"7341","WL","2013-07-28",0.5,18.1
"7592","WL","2013-08-06",0.5,20.9
"7615","EL","2013-08-06",0.5,22.5
"7810","EL","2013-08-14",0.5,19.1
"7833","WL","2013-08-14",0.5,19
"7981","EL","2013-07-31",0.5,19.7
"8006","WL","2013-07-31",0.5,19.4
"8030","EL","2013-07-25",0.5,22.2
"8054","WL","2013-07-25",0.5,21.5
"8348","EL","2013-09-14",0.5,17.7
"8371","WL","2013-09-14",0.5,18.4
"8400","WL","2013-05-23",0.5,15.2
"8423","EL","2013-05-23",0.5,15.4
"8492","WL","2013-06-03",0.5,16.6
"8517","EL","2013-06-03",0.5,16.6
"8650","EL","2013-07-03",0.5,23.6
"8671","WL","2013-07-03",0.5,23.4
"8756","WL","2013-07-14",0.5,24.3
"8779","EL","2013-07-14",0.5,25
"8862","WL","2013-07-28",0.5,20
"8884","EL","2013-07-28",0.5,19.7
"8966","WL","2013-08-08",0.5,20.4
"8989","EL","2013-08-08",0.5,21
"9112","WL","2013-09-16",0.5,17.5
"3","EL","2014-05-14",0.5,10
"24","WL","2014-05-14",0.5,11
"100","WL","2014-05-21",0.5,13.2
"121","EL","2014-05-21",0.5,13.7
"301","WL","2014-05-28",0.5,19.4
"326","EL","2014-05-28",0.5,19.7
"395","WL","2014-06-04",0.5,19.5
"420","EL","2014-06-04",0.5,19.5
"658","WL","2014-06-11",0.5,20.5
"683","EL","2014-06-11",0.5,20.2
"836","WL","2014-06-18",0.5,21.4
"1013","WL","2014-06-25",0.5,21.8
"1038","EL","2014-06-25",0.5,21.6
"1117","WL","2014-07-02",0.5,20.9
"1142","EL","2014-07-02",0.5,21
"1360","WL","2014-07-09",0.5,20.8
"1385","EL","2014-07-09",0.5,20.7
"1609","WL","2014-07-16",0.5,19.1
"1634","EL","2014-07-16",0.5,19
"1718","WL","2014-07-23",0.5,22.4
"1743","EL","2014-07-23",0.5,22.9
"1939","EL","2014-07-30",0.5,21.6
"1995","WL","2014-07-30",0.5,21.2
"2228","WL","2014-08-06",0.5,22.5
"2250","EL","2014-08-06",0.5,22.4
"2331","WL","2014-08-12",0.5,21.5
"2355","EL","2014-08-12",0.5,21.1
"2397","EL","2014-08-20",0.5,20.2
"2422","WL","2014-08-20",0.5,20.3
"2566","WL","2014-09-26",0.5,16.2
"2587","EL","2014-09-26",0.5,16.2
